# Wavelength_[A] S/N_Aperture S_Aperture_[e] N_Aperture_[e] SKY_Aperture_[e] S/N_Aperture_Coadd S_Aperture_Coadd_[e] N_Aperture_Coadd_[e] SKY_Aperture_Coadd_[e]
3721.500 0.23 1.75 7.49 4.86 0.40 5.24 12.97 14.57
3722.000 0.23 1.76 7.49 4.85 0.41 5.27 12.97 14.56
3722.500 0.24 1.77 7.49 4.85 0.41 5.30 12.98 14.55
3723.000 0.24 1.78 7.49 4.85 0.41 5.33 12.98 14.54
3723.500 0.24 1.79 7.49 4.84 0.41 5.37 12.98 14.53
3724.000 0.24 1.80 7.49 4.84 0.42 5.40 12.98 14.52
3724.500 0.24 1.81 7.49 4.84 0.42 5.43 12.98 14.51
3725.000 0.24 1.82 7.49 4.83 0.42 5.45 12.98 14.50
3725.500 0.24 1.82 7.49 4.83 0.42 5.47 12.98 14.49
3726.000 0.24 1.83 7.49 4.82 0.42 5.48 12.98 14.47
3726.500 0.24 1.83 7.49 4.82 0.42 5.49 12.98 14.46
3727.000 0.24 1.83 7.49 4.82 0.42 5.50 12.98 14.45
3727.500 0.25 1.84 7.49 4.81 0.42 5.51 12.98 14.44
3728.000 0.25 1.84 7.49 4.81 0.43 5.52 12.98 14.42
3728.500 0.25 1.84 7.49 4.80 0.43 5.53 12.98 14.41
3729.000 0.25 1.85 7.49 4.80 0.43 5.54 12.98 14.40
3729.500 0.25 1.85 7.49 4.80 0.43 5.54 12.98 14.39
3730.000 0.25 1.85 7.49 4.82 0.43 5.54 12.98 14.47
3730.500 0.25 1.84 7.50 4.98 0.43 5.53 13.00 14.94
3731.000 0.24 1.84 7.53 5.43 0.42 5.52 13.05 16.30
3731.500 0.24 1.83 7.59 6.34 0.42 5.50 13.15 19.01
3732.000 0.24 1.83 7.69 7.81 0.41 5.49 13.32 23.42
3732.500 0.24 1.82 7.75 8.75 0.41 5.47 13.42 26.24
3733.000 0.23 1.82 7.74 8.58 0.41 5.45 13.41 25.75
3733.500 0.24 1.81 7.67 7.56 0.41 5.43 13.29 22.68
3734.000 0.24 1.81 7.59 6.25 0.41 5.42 13.14 18.75
3734.500 0.24 1.81 7.55 5.77 0.41 5.42 13.08 17.30
