# Wavelength_[A] S/N_Aperture S_Aperture_[e] N_Aperture_[e] SKY_Aperture_[e] S/N_Aperture_Coadd S_Aperture_Coadd_[e] N_Aperture_Coadd_[e] SKY_Aperture_Coadd_[e]
3706.000 0.08 0.95 11.46 3.94 0.14 2.84 19.85 11.83
3706.500 0.08 0.95 11.47 4.17 0.14 2.85 19.87 12.51
3707.000 0.08 0.95 11.47 4.02 0.14 2.86 19.86 12.07
3707.500 0.08 0.96 11.44 3.53 0.15 2.87 19.82 10.58
3708.000 0.08 0.96 11.43 3.19 0.15 2.88 19.80 9.56
3708.500 0.08 0.97 11.42 3.04 0.15 2.90 19.79 9.12
3709.000 0.08 0.97 11.42 3.00 0.15 2.91 19.78 8.99
3709.500 0.09 0.97 11.42 2.99 0.15 2.92 19.78 8.98
3710.000 0.09 0.98 11.42 3.00 0.15 2.93 19.78 8.99
3710.500 0.09 0.98 11.42 3.00 0.15 2.94 19.78 9.00
3711.000 0.09 0.99 11.42 3.00 0.15 2.96 19.79 9.00
3711.500 0.09 0.99 11.42 3.00 0.15 2.98 19.79 9.01
3712.000 0.09 1.00 11.42 3.01 0.15 3.00 19.79 9.02
3712.500 0.09 1.01 11.42 3.01 0.15 3.02 19.79 9.02
3713.000 0.09 1.01 11.42 3.01 0.15 3.03 19.79 9.03
3713.500 0.09 1.02 11.43 3.01 0.15 3.05 19.79 9.04
3714.000 0.09 1.02 11.43 3.03 0.16 3.07 19.79 9.08
3714.500 0.09 1.03 11.43 3.06 0.16 3.09 19.79 9.18
3715.000 0.09 1.03 11.43 3.15 0.16 3.10 19.80 9.44
3715.500 0.09 1.04 11.43 3.22 0.16 3.11 19.81 9.65
3716.000 0.09 1.04 11.43 3.20 0.16 3.12 19.80 9.61
3716.500 0.09 1.04 11.43 3.13 0.16 3.13 19.80 9.39
3717.000 0.09 1.05 11.43 3.05 0.16 3.14 19.79 9.16
3717.500 0.09 1.05 11.43 3.03 0.16 3.14 19.79 9.08
3718.000 0.09 1.05 11.43 3.02 0.16 3.15 19.79 9.06
3718.500 0.09 1.05 11.43 3.02 0.16 3.16 19.79 9.05
3719.000 0.09 1.06 11.43 3.02 0.16 3.17 19.79 9.05
3719.500 0.09 1.06 11.43 3.01 0.16 3.17 19.79 9.04
3720.000 0.09 1.06 11.43 3.01 0.16 3.19 19.79 9.04
3720.500 0.09 1.07 11.43 3.01 0.16 3.20 19.79 9.03
3721.000 0.09 1.07 11.43 3.01 0.16 3.22 19.79 9.03
3721.500 0.09 1.08 11.43 3.01 0.16 3.24 19.79 9.02
3722.000 0.10 1.09 11.43 3.01 0.16 3.26 19.79 9.02
3722.500 0.10 1.09 11.43 3.00 0.17 3.28 19.79 9.01
3723.000 0.10 1.10 11.43 3.00 0.17 3.30 19.79 9.01
3723.500 0.10 1.11 11.43 3.00 0.17 3.33 19.79 9.00
3724.000 0.10 1.12 11.43 3.00 0.17 3.35 19.80 9.00
3724.500 0.10 1.12 11.43 3.00 0.17 3.36 19.80 8.99
3725.000 0.10 1.13 11.43 3.00 0.17 3.38 19.80 8.99
