ap_id	lambda	zero_point
  129     4762      17.98
  129     4764      18.16
  129     4766      18.31
  129     4768      18.45
  129     4770      18.56
  129     4772      18.66
  129     4774      18.73
  129     4776      18.79
  129     4778      18.84
  129     4780      18.86
  129     4782      18.87
  129     4784      18.87
  129     4786      18.84
  129     4788      18.82
  129     4790      18.75
  129     4792      18.68
  129     4794      18.59
  129     4796      18.48
  129     4798      18.35
  129     4800      18.21
  128     4790      16.85
  128     4792      17.14
  128     4794      17.41
  128     4796      17.65
  128     4798      17.86
  128     4800      18.06
  128     4802      18.21
  128     4804      18.38
  128     4806      18.49
  128     4808      18.61
  128     4810      18.70
  128     4812      18.77
  128     4814      18.82
  128     4816      18.86
  128     4818      18.88
  128     4820      18.90
  128     4822      18.89
  128     4824      18.87
  128     4826      18.83
  128     4828      18.77
  128     4830      18.70
  128     4832      18.61
  128     4834      18.49
  128     4836      18.36
  128     4838      18.22
  127     4830      17.17
  127     4832      17.44
  127     4834      17.67
  127     4836      17.88
  127     4838      18.07
  127     4840      18.24
  127     4842      18.39
  127     4844      18.52
  127     4846      18.63
  127     4848      18.71
  127     4850      18.78
  127     4852      18.83
  127     4854      18.85
  127     4856      18.82
  127     4858      18.71
  127     4860      18.56
  127     4862      18.57
  127     4864      18.76
  127     4866      18.78
  127     4868      18.73
  127     4870      18.65
  127     4872      18.56
  127     4874      18.43
  127     4876      18.29
  127     4878      18.13
  126     4868      17.13
  126     4870      17.41
  126     4872      17.65
  126     4874      17.85
  126     4876      18.04
  126     4878      18.21
  126     4880      18.35
  126     4882      18.48
  126     4884      18.58
  126     4886      18.67
  126     4888      18.74
  126     4890      18.80
  126     4892      18.84
  126     4894      18.88
  126     4896      18.90
  126     4898      18.90
  126     4900      18.90
  126     4902      18.87
  126     4904      18.81
  126     4906      18.76
  126     4908      18.67
  126     4910      18.59
  126     4912      18.47
  126     4914      18.35
  126     4916      18.20
  125     4906      16.97
  125     4908      17.24
  125     4910      17.48
  125     4912      17.71
  125     4914      17.91
  125     4916      18.08
  125     4918      18.24
  125     4920      18.36
  125     4922      18.43
  125     4924      18.59
  125     4926      18.68
  125     4928      18.75
  125     4930      18.81
  125     4932      18.85
  125     4934      18.88
  125     4936      18.89
  125     4938      18.90
  125     4940      18.88
  125     4942      18.85
  125     4944      18.80
  125     4946      18.73
  125     4948      18.65
  125     4950      18.56
  125     4952      18.45
  125     4954      18.32
  125     4956      18.18
  124     4946      16.99
  124     4948      17.27
  124     4950      17.50
  124     4952      17.71
  124     4954      17.91
  124     4956      18.08
  124     4958      18.25
  124     4960      18.37
  124     4962      18.49
  124     4964      18.59
  124     4966      18.68
  124     4968      18.75
  124     4970      18.80
  124     4972      18.85
  124     4974      18.87
  124     4976      18.89
  124     4978      18.89
  124     4980      18.89
  124     4982      18.85
  124     4984      18.79
  124     4986      18.74
  124     4988      18.66
  124     4990      18.58
  124     4992      18.47
  124     4994      18.34
  124     4996      18.21
  123     4988      17.22
  123     4990      17.46
  123     4992      17.67
  123     4994      17.87
  123     4996      18.04
  123     4998      18.21
  123     5000      18.34
  123     5002      18.46
  123     5004      18.57
  123     5006      18.66
  123     5008      18.73
  123     5010      18.79
  123     5012      18.84
  123     5014      18.87
  123     5016      18.84
  123     5018      18.91
  123     5020      18.91
  123     5022      18.87
  123     5024      18.83
  123     5026      18.78
  123     5028      18.71
  123     5030      18.64
  123     5032      18.53
  123     5034      18.43
  123     5036      18.29
  123     5038      18.15
  122     5028      17.10
  122     5030      17.36
  122     5032      17.59
  122     5034      17.79
  122     5036      17.97
  122     5038      18.13
  122     5040      18.28
  122     5042      18.41
  122     5044      18.52
  122     5046      18.62
  122     5048      18.70
  122     5050      18.78
  122     5052      18.83
  122     5054      18.88
  122     5056      18.90
  122     5058      18.91
  122     5060      18.93
  122     5062      18.92
  122     5064      18.89
  122     5066      18.85
  122     5068      18.79
  122     5070      18.72
  122     5072      18.64
  122     5074      18.54
  122     5076      18.43
  122     5078      18.30
  121     5070      17.17
  121     5072      17.42
  121     5074      17.65
  121     5076      17.84
  121     5078      18.02
  121     5080      18.18
  121     5082      18.32
  121     5084      18.45
  121     5086      18.56
  121     5088      18.66
  121     5090      18.75
  121     5092      18.81
  121     5094      18.87
  121     5096      18.91
  121     5098      18.94
  121     5100      18.96
  121     5102      18.98
  121     5104      18.96
  121     5106      18.93
  121     5108      18.89
  121     5110      18.84
  121     5112      18.78
  121     5114      18.69
  121     5116      18.59
  121     5118      18.49
  121     5120      18.36
  121     5122      18.23
  120     5114      17.42
  120     5116      17.65
  120     5118      17.84
  120     5120      18.02
  120     5122      18.19
  120     5124      18.33
  120     5126      18.46
  120     5128      18.58
  120     5130      18.67
  120     5132      18.76
  120     5134      18.84
  120     5136      18.89
  120     5138      18.93
  120     5140      18.97
  120     5142      19.00
  120     5144      19.01
  120     5146      19.00
  120     5148      18.98
  120     5150      18.95
  120     5152      18.90
  120     5154      18.84
  120     5156      18.77
  120     5158      18.69
  120     5160      18.59
  120     5162      18.47
  120     5164      18.33
  119     5156      17.33
  119     5158      17.58
  119     5160      17.78
  119     5162      17.97
  119     5164      18.14
  119     5166      18.29
  119     5168      18.42
  119     5170      18.54
  119     5172      18.65
  119     5174      18.75
  119     5176      18.83
  119     5178      18.88
  119     5180      18.94
  119     5182      18.98
  119     5184      19.01
  119     5186      19.04
  119     5188      19.04
  119     5190      19.04
  119     5192      19.01
  119     5194      18.97
  119     5196      18.92
  119     5198      18.86
  119     5200      18.76
  119     5202      18.69
  119     5204      18.56
  119     5206      18.47
  119     5208      18.36
  118     5200      17.37
  118     5202      17.63
  118     5204      17.78
  118     5206      18.00
  118     5208      18.18
  118     5210      18.33
  118     5212      18.45
  118     5214      18.58
  118     5216      18.69
  118     5218      18.77
  118     5220      18.85
  118     5222      18.91
  118     5224      18.97
  118     5226      19.00
  118     5228      19.04
  118     5230      19.07
  118     5232      19.08
  118     5234      19.06
  118     5236      19.04
  118     5238      19.00
  118     5240      18.96
  118     5242      18.90
  118     5244      18.83
  118     5246      18.74
  118     5248      18.64
  118     5250      18.54
  118     5252      18.42
  117     5246      17.59
  117     5248      17.81
  117     5250      18.00
  117     5252      18.16
  117     5254      18.31
  117     5256      18.44
  117     5258      18.56
  117     5260      18.67
  117     5262      18.77
  117     5264      18.85
  117     5266      18.91
  117     5268      18.97
  117     5270      19.01
  117     5272      19.05
  117     5274      19.09
  117     5276      19.08
  117     5278      19.09
  117     5280      19.07
  117     5282      19.04
  117     5284      19.01
  117     5286      18.95
  117     5288      18.89
  117     5290      18.82
  117     5292      18.72
  117     5294      18.64
  117     5296      18.51
  117     5298      18.40
  116     5292      17.67
  116     5294      17.86
  116     5296      18.03
  116     5298      18.19
  116     5300      18.34
  116     5302      18.46
  116     5304      18.57
  116     5306      18.68
  116     5308      18.77
  116     5310      18.85
  116     5312      18.92
  116     5314      18.96
  116     5316      19.01
  116     5318      19.05
  116     5320      19.10
  116     5322      19.09
  116     5324      19.07
  116     5326      19.07
  116     5328      19.05
  116     5330      18.99
  116     5332      18.94
  116     5334      18.88
  116     5336      18.82
  116     5338      18.73
  116     5340      18.63
  116     5342      18.53
  116     5344      18.41
  115     5338      17.62
  115     5340      17.81
  115     5342      17.97
  115     5344      18.15
  115     5346      18.28
  115     5348      18.41
  115     5350      18.54
  115     5352      18.64
  115     5354      18.73
  115     5356      18.81
  115     5358      18.87
  115     5360      18.93
  115     5362      18.99
  115     5364      19.03
  115     5366      19.05
  115     5368      19.06
  115     5370      19.07
  115     5372      19.05
  115     5374      19.02
  115     5376      19.00
  115     5378      18.96
  115     5380      18.89
  115     5382      18.83
  115     5384      18.75
  115     5386      18.66
  115     5388      18.56
  115     5390      18.45
  115     5392      18.32
  114     5384      17.48
  114     5386      17.68
  114     5388      17.86
  114     5390      18.02
  114     5392      18.18
  114     5394      18.31
  114     5396      18.43
  114     5398      18.54
  114     5400      18.63
  114     5402      18.71
  114     5404      18.76
  114     5406      18.81
  114     5408      18.80
  114     5410      18.72
  114     5412      18.66
  114     5414      18.86
  114     5416      18.95
  114     5418      18.98
  114     5420      18.99
  114     5422      18.98
  114     5424      18.95
  114     5426      18.91
  114     5428      18.85
  114     5430      18.79
  114     5432      18.72
  114     5434      18.63
  114     5436      18.52
  114     5438      18.42
  113     5432      17.47
  113     5434      17.66
  113     5436      17.83
  113     5438      17.99
  113     5440      18.14
  113     5442      18.27
  113     5444      18.40
  113     5446      18.51
  113     5448      18.61
  113     5450      18.69
  113     5452      18.77
  113     5454      18.84
  113     5456      18.89
  113     5458      18.93
  113     5460      18.98
  113     5462      19.00
  113     5464      19.00
  113     5466      19.01
  113     5468      18.99
  113     5470      18.98
  113     5472      18.95
  113     5474      18.91
  113     5476      18.86
  113     5478      18.79
  113     5480      18.72
  113     5482      18.63
  113     5484      18.55
  113     5486      18.43
  113     5488      18.33
  112     5482      17.57
  112     5484      17.75
  112     5486      17.91
  112     5488      18.05
  112     5490      18.20
  112     5492      18.33
  112     5494      18.44
  112     5496      18.55
  112     5498      18.64
  112     5500      18.71
  112     5502      18.79
  112     5504      18.85
  112     5506      18.90
  112     5508      18.95
  112     5510      18.98
  112     5512      18.99
  112     5514      19.00
  112     5516      18.99
  112     5518      18.97
  112     5520      18.96
  112     5522      18.93
  112     5524      18.88
  112     5526      18.83
  112     5528      18.76
  112     5530      18.70
  112     5532      18.61
  112     5534      18.52
  112     5536      18.41
  112     5538      18.30
  111     5532      17.59
  111     5534      17.78
  111     5536      17.94
  111     5538      18.07
  111     5540      18.21
  111     5542      18.34
  111     5544      18.45
  111     5546      18.56
  111     5548      18.64
  111     5550      18.71
  111     5552      18.78
  111     5554      18.85
  111     5556      18.91
  111     5558      18.95
  111     5560      18.97
  111     5562      18.99
  111     5564      19.00
  111     5566      18.99
  111     5568      18.99
  111     5570      18.96
  111     5572      18.94
  111     5574      18.89
  111     5576      18.84
  111     5578      18.79
  111     5580      18.71
  111     5582      18.63
  111     5584      18.54
  111     5586      18.45
  111     5588      18.34
  110     5582      17.55
  110     5584      17.75
  110     5586      17.90
  110     5588      18.05
  110     5590      18.17
  110     5592      18.30
  110     5594      18.42
  110     5596      18.52
  110     5598      18.62
  110     5600      18.69
  110     5602      18.77
  110     5604      18.84
  110     5606      18.89
  110     5608      18.94
  110     5610      18.97
  110     5612      18.99
  110     5614      19.00
  110     5616      19.01
  110     5618      19.00
  110     5620      18.99
  110     5622      18.96
  110     5624      18.93
  110     5626      18.88
  110     5628      18.84
  110     5630      18.77
  110     5632      18.70
  110     5634      18.62
  110     5636      18.52
  110     5638      18.43
  109     5634      17.62
  109     5636      17.80
  109     5638      17.96
  109     5640      18.09
  109     5642      18.23
  109     5644      18.34
  109     5646      18.45
  109     5648      18.56
  109     5650      18.64
  109     5652      18.72
  109     5654      18.79
  109     5656      18.86
  109     5658      18.92
  109     5660      18.96
  109     5662      18.99
  109     5664      19.01
  109     5666      19.02
  109     5668      19.03
  109     5670      19.01
  109     5672      19.01
  109     5674      18.98
  109     5676      18.94
  109     5678      18.90
  109     5680      18.85
  109     5682      18.79
  109     5684      18.72
  109     5686      18.64
  109     5688      18.55
  109     5690      18.45
  109     5692      18.35
  108     5686      17.60
  108     5688      17.77
  108     5690      17.92
  108     5692      18.06
  108     5694      18.19
  108     5696      18.32
  108     5698      18.42
  108     5700      18.52
  108     5702      18.61
  108     5704      18.69
  108     5706      18.76
  108     5708      18.85
  108     5710      18.90
  108     5712      18.94
  108     5714      18.98
  108     5716      19.00
  108     5718      19.01
  108     5720      19.01
  108     5722      19.01
  108     5724      19.00
  108     5726      18.99
  108     5728      18.96
  108     5730      18.92
  108     5732      18.88
  108     5734      18.82
  108     5736      18.77
  108     5738      18.69
  108     5740      18.60
  108     5742      18.52
  108     5744      18.42
  107     5740      17.64
  107     5742      17.81
  107     5744      17.96
  107     5746      18.09
  107     5748      18.23
  107     5750      18.34
  107     5752      18.44
  107     5754      18.54
  107     5756      18.62
  107     5758      18.69
  107     5760      18.78
  107     5762      18.85
  107     5764      18.90
  107     5766      18.95
  107     5768      18.97
  107     5770      18.99
  107     5772      19.00
  107     5774      19.00
  107     5776      19.00
  107     5778      18.99
  107     5780      18.98
  107     5782      18.95
  107     5784      18.91
  107     5786      18.88
  107     5788      18.82
  107     5790      18.76
  107     5792      18.69
  107     5794      18.61
  107     5796      18.53
  107     5798      18.43
  106     5796      17.76
  106     5798      17.93
  106     5800      18.04
  106     5802      18.17
  106     5804      18.29
  106     5806      18.41
  106     5808      18.50
  106     5810      18.58
  106     5812      18.65
  106     5814      18.74
  106     5816      18.81
  106     5818      18.87
  106     5820      18.90
  106     5822      18.94
  106     5824      18.97
  106     5826      18.98
  106     5828      18.99
  106     5830      19.00
  106     5832      18.99
  106     5834      18.97
  106     5836      18.95
  106     5838      18.92
  106     5840      18.89
  106     5842      18.84
  106     5844      18.78
  106     5846      18.71
  106     5848      18.64
  106     5850      18.57
  106     5852      18.48
  106     5854      18.38
  105     5850      17.61
  105     5852      17.78
  105     5854      17.91
  105     5856      18.05
  105     5858      18.19
  105     5860      18.28
  105     5862      18.39
  105     5864      18.49
  105     5866      18.56
  105     5868      18.64
  105     5870      18.72
  105     5872      18.78
  105     5874      18.77
  105     5876      18.57
  105     5878      18.88
  105     5880      18.93
  105     5882      18.93
  105     5884      18.93
  105     5886      18.93
  105     5888      18.92
  105     5890      18.91
  105     5892      18.75
  105     5894      18.85
