# lambda elam
5852.852853 0.412169
5859.059059 0.412198
5865.265265 0.412225
5871.471471 0.412251
5877.677678 0.412276
5883.883884 0.412299
5890.090090 0.412321
5896.296296 0.412341
5902.502503 0.412360
5908.708709 0.412377
5914.914915 0.412393
5921.121121 0.412408
5927.327327 0.412422
5933.533534 0.412434
5939.739740 0.412446
5945.945946 0.412456
5952.152152 0.412464
5958.358358 0.412472
5964.564565 0.412478
5970.770771 0.412484
5976.976977 0.412488
5983.183183 0.412491
5989.389389 0.412493
5995.595596 0.412494
6001.801802 0.412494
6008.008008 0.412493
6014.214214 0.412491
6020.420420 0.412489
6026.626627 0.412485
6032.832833 0.412480
6039.039039 0.412474
6045.245245 0.412468
6051.451451 0.412461
6057.657658 0.412453
6063.863864 0.412444
6070.070070 0.412434
6076.276276 0.412424
6082.482482 0.412413
6088.688689 0.412401
6094.894895 0.412388
6101.101101 0.412375
6107.307307 0.412361
6113.513514 0.412347
6119.719720 0.412332
6125.925926 0.412316
6132.132132 0.412300
6138.338338 0.412283
6144.544545 0.412266
6150.750751 0.412248
6156.956957 0.412230
6163.163163 0.412211
6169.369369 0.412192
6175.575576 0.412172
6181.781782 0.412153
6187.987988 0.412132
6194.194194 0.412112
6200.400400 0.412091
6206.606607 0.412070
6212.812813 0.412048
6219.019019 0.412027
6225.225225 0.412005
6231.431431 0.411983
6237.637638 0.411960
6243.843844 0.411938
6250.050050 0.411915
6256.256256 0.411893
6262.462462 0.411870
6268.668669 0.411847
6274.874875 0.411824
6281.081081 0.411801
6287.287287 0.411778
6293.493493 0.411755
6299.699700 0.411732
6305.905906 0.411709
6312.112112 0.411686
6318.318318 0.411663
6324.524525 0.411641
6330.730731 0.411618
6336.936937 0.411596
6343.143143 0.411574
6349.349349 0.411552
6355.555556 0.411530
6361.761762 0.411509
6367.967968 0.411488
6374.174174 0.411467
6380.380380 0.411446
6386.586587 0.411426
6392.792793 0.411406
6398.998999 0.411387
6405.205205 0.411368
6411.411411 0.411349
6417.617618 0.411331
6423.823824 0.411313
6430.030030 0.411296
6436.236236 0.411280
6442.442442 0.411263
6448.648649 0.411248
6454.854855 0.411233
6461.061061 0.411218
6467.267267 0.411205
6473.473473 0.411191
6479.679680 0.411179
6485.885886 0.411167
6492.092092 0.411156
6498.298298 0.411146
6504.504505 0.411136
6510.710711 0.411127
6516.916917 0.411119
6523.123123 0.411112
6529.329329 0.411105
6535.535536 0.411099
6541.741742 0.411094
6547.947948 0.411090
6554.154154 0.411086
6560.360360 0.411083
6566.566567 0.411080
6572.772773 0.411079
6578.978979 0.411078
6585.185185 0.411077
6591.391391 0.411078
6597.597598 0.411079
6603.803804 0.411080
6610.010010 0.411083
6616.216216 0.411086
6622.422422 0.411089
6628.628629 0.411093
6634.834835 0.411098
6641.041041 0.411103
6647.247247 0.411109
6653.453453 0.411116
6659.659660 0.411123
6665.865866 0.411131
6672.072072 0.411139
6678.278278 0.411148
6684.484484 0.411157
6690.690691 0.411167
6696.896897 0.411178
6703.103103 0.411189
6709.309309 0.411200
6715.515516 0.411213
6721.721722 0.411225
6727.927928 0.411238
6734.134134 0.411252
6740.340340 0.411266
6746.546547 0.411281
6752.752753 0.411296
6758.958959 0.411311
6765.165165 0.411327
6771.371371 0.411344
6777.577578 0.411361
6783.783784 0.411378
6789.989990 0.411396
6796.196196 0.411414
6802.402402 0.411433
6808.608609 0.411452
6814.814815 0.411471
6821.021021 0.411491
6827.227227 0.411511
6833.433433 0.411532
6839.639640 0.411553
6845.845846 0.411575
6852.052052 0.411596
6858.258258 0.411619
6864.464464 0.411641
6870.670671 0.411664
6876.876877 0.411687
6883.083083 0.411711
6889.289289 0.411734
6895.495495 0.411759
6901.701702 0.411783
6907.907908 0.411808
6914.114114 0.411833
6920.320320 0.411858
6926.526527 0.411884
6932.732733 0.411910
6938.938939 0.411936
6945.145145 0.411962
6951.351351 0.411989
6957.557558 0.412016
6963.763764 0.412043
6969.969970 0.412071
6976.176176 0.412098
6982.382382 0.412126
6988.588589 0.412154
6994.794795 0.412182
7001.001001 0.412211
7007.207207 0.412239
7013.413413 0.412268
7019.619620 0.412297
7025.825826 0.412326
7032.032032 0.412356
7038.238238 0.412385
7044.444444 0.412415
7050.650651 0.412445
7056.856857 0.412475
7063.063063 0.412505
7069.269269 0.412535
7075.475475 0.412565
7081.681682 0.412595
7087.887888 0.412626
7094.094094 0.412656
7100.300300 0.412687
7106.506507 0.412718
7112.712713 0.412749
7118.918919 0.412779
7125.125125 0.412810
7131.331331 0.412841
7137.537538 0.412872
7143.743744 0.412903
7149.949950 0.412934
7156.156156 0.412966
7162.362362 0.412997
7168.568569 0.413028
7174.774775 0.413059
7180.980981 0.413090
7187.187187 0.413121
7193.393393 0.413152
7199.599600 0.413183
7205.805806 0.413214
7212.012012 0.413245
7218.218218 0.413276
7224.424424 0.413307
7230.630631 0.413337
7236.836837 0.413368
7243.043043 0.413399
7249.249249 0.413429
7255.455455 0.413460
7261.661662 0.413490
7267.867868 0.413520
7274.074074 0.413550
7280.280280 0.413580
7286.486486 0.413610
7292.692693 0.413640
7298.898899 0.413670
7305.105105 0.413699
7311.311311 0.413728
7317.517518 0.413757
7323.723724 0.413786
7329.929930 0.413815
7336.136136 0.413844
7342.342342 0.413872
7348.548549 0.413900
7354.754755 0.413928
7360.960961 0.413956
7367.167167 0.413984
7373.373373 0.414011
7379.579580 0.414038
7385.785786 0.414065
7391.991992 0.414092
7398.198198 0.414118
7404.404404 0.414144
7410.610611 0.414170
7416.816817 0.414195
7423.023023 0.414221
7429.229229 0.414246
7435.435435 0.414270
7441.641642 0.414295
7447.847848 0.414319
7454.054054 0.414342
7460.260260 0.414366
7466.466466 0.414389
7472.672673 0.414412
7478.878879 0.414434
7485.085085 0.414456
7491.291291 0.414478
7497.497497 0.414499
7503.703704 0.414520
7509.909910 0.414541
7516.116116 0.414561
7522.322322 0.414580
7528.528529 0.414600
7534.734735 0.414619
7540.940941 0.414637
7547.147147 0.414655
7553.353353 0.414673
7559.559560 0.414690
7565.765766 0.414707
7571.971972 0.414723
7578.178178 0.414739
7584.384384 0.414755
7590.590591 0.414770
7596.796797 0.414784
7603.003003 0.414798
7609.209209 0.414811
7615.415415 0.414824
7621.621622 0.414837
7627.827828 0.414849
7634.034034 0.414860
7640.240240 0.414871
7646.446446 0.414881
7652.652653 0.414891
7658.858859 0.414900
7665.065065 0.414909
7671.271271 0.414917
7677.477477 0.414925
7683.683684 0.414932
7689.889890 0.414938
7696.096096 0.414944
7702.302302 0.414949
7708.508509 0.414954
7714.714715 0.414958
7720.920921 0.414961
7727.127127 0.414964
7733.333333 0.414966
7739.539540 0.414967
7745.745746 0.414968
7751.951952 0.414968
7758.158158 0.414968
7764.364364 0.414966
7770.570571 0.414964
7776.776777 0.414962
7782.982983 0.414959
7789.189189 0.414955
7795.395395 0.414950
7801.601602 0.414944
7807.807808 0.414938
7814.014014 0.414931
7820.220220 0.414924
7826.426426 0.414916
7832.632633 0.414906
7838.838839 0.414897
7845.045045 0.414886
7851.251251 0.414875
7857.457457 0.414862
7863.663664 0.414850
7869.869870 0.414836
7876.076076 0.414821
7882.282282 0.414806
7888.488488 0.414790
7894.694695 0.414773
7900.900901 0.414755
7907.107107 0.414736
7913.313313 0.414717
7919.519520 0.414697
7925.725726 0.414675
7931.931932 0.414653
7938.138138 0.414630
7944.344344 0.414607
7950.550551 0.414582
7956.756757 0.414556
7962.962963 0.414530
7969.169169 0.414503
7975.375375 0.414474
7981.581582 0.414445
7987.787788 0.414415
7993.993994 0.414384
8000.200200 0.414352
8006.406406 0.414319
8012.612613 0.414285
8018.818819 0.414250
8025.025025 0.414214
8031.231231 0.414178
8037.437437 0.414140
8043.643644 0.414101
8049.849850 0.414061
8056.056056 0.414020
8062.262262 0.413979
8068.468468 0.413936
8074.674675 0.413892
8080.880881 0.413847
8087.087087 0.413801
8093.293293 0.413754
8099.499499 0.413706
8105.705706 0.413657
8111.911912 0.413607
8118.118118 0.413556
8124.324324 0.413503
8130.530531 0.413450
8136.736737 0.413395
8142.942943 0.413340
8149.149149 0.413283
8155.355355 0.413225
8161.561562 0.413166
8167.767768 0.413106
8173.973974 0.413045
8180.180180 0.412983
8186.386386 0.412919
8192.592593 0.412855
8198.798799 0.412789
8205.005005 0.412722
8211.211211 0.412654
8217.417417 0.412584
8223.623624 0.412514
8229.829830 0.412442
8236.036036 0.412369
8242.242242 0.412295
8248.448448 0.412219
8254.654655 0.412143
8260.860861 0.412065
8267.067067 0.411986
8273.273273 0.411905
8279.479479 0.411824
8285.685686 0.411741
8291.891892 0.411656
8298.098098 0.411571
8304.304304 0.411484
8310.510511 0.411396
8316.716717 0.411307
8322.922923 0.411216
8329.129129 0.411124
8335.335335 0.411031
8341.541542 0.410936
8347.747748 0.410840
8353.953954 0.410743
8360.160160 0.410644
8366.366366 0.410544
8372.572573 0.410443
8378.778779 0.410340
8384.984985 0.410236
8391.191191 0.410131
8397.397397 0.410024
8403.603604 0.409915
8409.809810 0.409806
8416.016016 0.409695
8422.222222 0.409582
8428.428428 0.409468
8434.634635 0.409353
8440.840841 0.409236
8447.047047 0.409118
8453.253253 0.408998
8459.459459 0.408877
8465.665666 0.408754
8471.871872 0.408630
8478.078078 0.408504
8484.284284 0.408377
8490.490490 0.408248
8496.696697 0.408118
8502.902903 0.407986
8509.109109 0.407853
8515.315315 0.407719
8521.521522 0.407582
8527.727728 0.407445
8533.933934 0.407305
8540.140140 0.407164
8546.346346 0.407022
8552.552553 0.406878
8558.758759 0.406732
8564.964965 0.406585
8571.171171 0.406436
8577.377377 0.406286
8583.583584 0.406134
8589.789790 0.405980
8595.995996 0.405825
8602.202202 0.405668
8608.408408 0.405510
8614.614615 0.405350
8620.820821 0.405188
8627.027027 0.405025
